imdb_num_votes,in_top10
"(12.999, 3177.5]",0.1875
"(3177.5, 16471.0]",0.5416666666666666
"(16471.0, 61711.0]",0.6421052631578947
"(61711.0, 1505086.0]",0.7604166666666666
