,imdb_rating,imdb_num_votes,avg_trend_score,total_weeks_top10,best_weekly_rank,release_year
count,383.0,383.0,398.0,398.0,207.0,398.0
mean,7.220104438642299,62978.882506527414,22.546202229758006,1.964824120603015,3.9613526570048307,2018.9195979899498
std,0.9854639801026334,140459.84410622416,20.42623180182868,3.2306418393918763,2.9916476134382,4.306701220740935
min,1.6,13.0,1.8867924528301887,0.0,1.0,2010.0
25%,6.7,3177.5,8.235849056603774,0.0,1.0,2016.0
50%,7.4,16471.0,15.074598183088748,1.0,3.0,2020.0
75%,7.9,61711.0,29.069444444444443,3.0,6.0,2023.0
max,9.2,1505086.0,90.37735849056604,39.0,10.0,2025.0
