,imdb_rating,imdb_num_votes,avg_trend_score,total_weeks_top10,best_weekly_rank,release_year,in_top10
imdb_rating,1.0,0.3121966620207995,0.07808811894262771,0.11049497932399568,-0.0036975228523492896,-0.15046581464876244,0.0616729129581068
imdb_num_votes,0.3121966620207995,1.0,-0.03150700335493531,0.3236263347241092,-0.16939108044947498,-0.13503440037906872,0.17669483412912698
avg_trend_score,0.07808811894262771,-0.03150700335493531,1.0,-0.08548065414878499,0.14594914247092847,-0.312159818468645,-0.20694438800283885
total_weeks_top10,0.11049497932399568,0.3236263347241092,-0.08548065414878499,1.0,-0.4620375997729951,0.23207128204725164,0.5849418055271555
best_weekly_rank,-0.0036975228523492896,-0.16939108044947498,0.14594914247092847,-0.4620375997729951,1.0,-0.20152087949356692,
release_year,-0.15046581464876244,-0.13503440037906872,-0.312159818468645,0.23207128204725164,-0.20152087949356692,1.0,0.3865977298121009
in_top10,0.0616729129581068,0.17669483412912698,-0.20694438800283885,0.5849418055271555,,0.3865977298121009,1.0
