imdb_rating,in_top10
"[0.0, 5.5)",0.3888888888888889
"[5.5, 6.5)",0.48
"[6.5, 7.5)",0.5073529411764706
"[7.5, 8.5)",0.6193548387096774
"[8.5, 10.0)",0.3333333333333333
