,show_id,release_year,rating,popularity,vote_count,vote_average,total_weeks_top10,best_weekly_rank,in_top10,imdb_rating,imdb_num_votes,avg_trend_score
count,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,212.0,3194.0,2864.0,2864.0,398.0
mean,100614.97307451471,2017.4041953663118,6.6832495303694435,84.0129295554164,346.88509705698186,6.6832495303694435,0.2485911083281152,3.990566037735849,0.06637445209768315,7.058240223463687,29372.46997206704,22.546202229758006
std,63776.86283871026,4.366443223862312,2.0032820084928096,203.66006580503603,1141.9322354899964,2.0032820084928096,1.314666914047494,2.992867613196534,0.24897448049376666,1.1073194278562122,94108.4203281844,20.42623180182868
min,877.0,2010.0,0.0,2.585,0.0,0.0,0.0,1.0,0.0,1.0,8.0,1.8867924528301887
25%,61994.5,2014.0,6.4,28.271,10.0,6.4,0.0,1.0,0.0,6.5,718.0,8.235849056603774
50%,79635.5,2017.0,7.2,42.614000000000004,53.0,7.2,0.0,3.0,0.0,7.2,4791.5,15.074598183088748
75%,114923.5,2021.0,7.77475,80.6995,233.75,7.77475,0.0,6.0,0.0,7.8,20851.5,29.069444444444443
max,285314.0,2025.0,10.0,6421.923,24664.0,10.0,39.0,10.0,1.0,9.4,2500619.0,90.37735849056604
